교통약자이동지원센터명,소재지도로명주소,소재지지번주소,위도,경도,보유차량대수,보유차량종류,슬로프형휠체어차량대수,리프트형휠체어차량대수,예약접수전화번호,예약접수인터넷주소,앱서비스명,평일예약접수운영시작시각,평일예약접수운영종료시각,주말예약접수운영시작시각,주말예약접수운영종료시각,차량평일운행시작시각,차량평일운행종료시각,차량주말운행시작시각,차량주말운행종료시각,사전예약신청기간,차량이용제한사항,차량관내운행지역,차량관외운행지역,차량이용대상,차량이용요금,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
강남세움복지관,서울특별시 강남구 광평로60길 22,서울특별시 강남구 수서동 721,37.48698084,127.106927,3,대형승합차,0,3,02-2184-8707,www.gnseum.org,해당사항 없음,9:00,18:00,0:00,23:59,7:30,17:21,0:00,23:59,해당사항 없음,해당사항 없음,강남구 관내,해당사항 없음,장애인+노약자+임산부,0,서울특별시 강남구청,02-3423-5874,2022.3.25,3220000,서울특별시 강남구
파주시 교통약자이동지원센터,경기도 파주시 월롱면 휴암로11,경기도 파주시 위전리 598-4,37.7961277,126.7901986,36,승합(중형)+카니발 저상장애인차+다인승버스,35,1,080-699-6199,https://ggsts.gg.go.kr/front/index.do,,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,0일,"월 3회 이상 배차 후 취소한 경우+동승자 및 보호자 탑승인원 초과한 경우+콜센터를 통하지 않고 운전원에게 직접 연락하여 차량을 이용한 경우+직원에게 폭언 및 폭행한 경우+월 3회 이상 보호가 필요한 이용자임에도 보호자없이 탑승한 경우 +요금을 체납한 경우+청결하지 않은 물품이나 폭발성인화성 물질+캐리어 외 동물(장애인 보조견, 전용 운반상자에 넣은 애완동물은 제외) 소지하여 탑승한 경우",관내 전지역,서울+경기+인천,장애의 정도가 심한 장애인+만 65세이상으로 대중교통 이용이 어려운 사람+임산부+일시적으로 휠체어를 이용하는 사람으로서 대중교통 이용이 어려운 사람,관내: 1250원 정액제+관외: 기본요금(1250원)+5km당 100원 추가,파주도시관광공사,031-909-6341,2022.4.29,4060000,경기도 파주시
양주시교통약자이동지원센터,경기도 양주시 광적면 부흥로618번길 303,경기도 양주시 광적면 광석리 132,37.81249951,126.9723084,23,스타렉스+카니발,23,0,031-861-9977,해당없음,양주시 교통약자 스마트앱,9:00,18:00,0:00,0:00,7:00,23:00,8:00,21:00,이용예정일 2일전부터,,관내 전지역,공항+경기북부+서울(병원진료시)+도봉산역 환승센터+수락산역+구파발역,장애의 정도가 심한 장애인 중 보행상 장애인+65세 이상 대중교통 이용이 어려운 사람(진단서)+임산부(산모수첩) 등,(기본요금) 10Km이내 1200원+(거리요금)기본요금 외 10Km 초과 시 5Km마다 100원 추가+유료도로 및 주차요금 이용자 부담,경기도 양주시청 대중교통과,031-8082-6602,2022.4.21,5590000,경기도 양주시
단양군장애인생활이동지원센터,충청북도 단양군 단양읍 별곡5길5 (3층),충청북도 단양군 단양읍 별곡리 319,36.98530043,128.3686533,2,스타렉스2대,0,0,043-421-7788,해당없음,,9:00,18:00,0:00,0:00,9:00,18:00,0:00,0:00,3일 전,복지카드 미소지자+등록 장애인이 아닌 경우+본인 포함 3명까지 탑승 가능,단양군 전체,전지역,등록장애인,(관내 기본거리)10km 1500원+(관내10km초과 시)10km 당 1500원+(관외 기본거리 30km)4500원+(관외 30km 초과)1km당 600원,충청북도 단양군청,043-420-2133,2022.4.8,4480000,충청북도 단양군
단양군장애인단체연합회,충청북도 단양군 단양읍 별곡5길5 (3층),충청북도 단양군 단양읍 별곡리 319,36.98530043,128.3686533,1,스타렉스,0,1,043-423-1776,해당없음,,9:00,18:00,0:00,0:00,9:00,18:00,0:00,0:00,시내 1일전+시외 1주일 전,복지카드미소지자+출발도착지 단양군아닌경우+장애인이 아닌경우+2회 요금미납자,단양군 전체,전지역,단양군내 거주하는 등록장애인,"(관내 기본거리 10km)1500원+(관내10km초과 시)10km 당 1500원+(관외 기본거리 30km)4500원,+(관외30km 초과 시)1km당 600원+(1일 임대 8시간)90000원+대기료(40분 무료, 20분당 1500원)+주차 이용자부담+톨비 이용자부담",충청북도 단양군청,043-420-2134,2022.4.8,4480000,충청북도 단양군
군포시 교통약자 이동지원센터,경기도 군포시 공단로 30,경기도 군포시 금정동 689-59,37.34847646,126.9503025,23,그랜드카니발,23,0,1899-4428,https://bokjicall.gunpouc.or.kr,군포시 교통약자 이동지원센터,6:00,22:00,0:00,0:00,0:00,23:59,0:00,23:59,2일전,복지카드(신분증)등 증빙서의 제시 또는 관련 서류의 제출을 거부한 경우실제 탑승인과 복지카드(신분증) 및 증빙서의 이용 대상자가 다를 경우보호자 없이 탑승 시 안전상의 문제가 발생할 수 있다고 판단되는 경우기타 이에 준하는 상황이 발생하여 운행할 수 없다고 판단하는 경우,안양+의왕,서울+경기+인천,장애인 : 장애정도가 심한 장애인+고령자 : 노인장기요양 전체 등급으로 노인장기요양인정서를 소지하며 대중교통이용이 어려운 시민+임산부 : 산모수첩을 소지한 임산부 또는 출산 후 6개월까지 시민,10km 1200원,군포도시공사,1899-4428,2022.4.21,4020000,경기도 군포시
고창군교통약자이동지원센터,전라북도 고창군 고창읍 월곡14길 19,전라북도 고창군 고창읍 월곡리 620,35.43762073,126.7129638,6,카니발+스타렉스,5,1,063-561-2338,0632270002.com,전라북도 광역이동지원센터,0:00,0:00,0:00,0:00,6:00,22:00,8:00,18:00,1일전,,전지역,전라북도,장애의정도가 심한 장애인 중 대중교통 이용이 어려운 자(보행상 장애인),일반택시요금의 50,고창군청,063-560-2573,2020.11.30,4780000,전라북도 고창군
교통편의관리소,경상남도 창원시 성산구 원이대로 450,경상남도 창원시 성산구 중앙동 1,35.23400713,128.6647354,107,"스타렉스100대, 카니발 7대",83,24,1566-4488,-,,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,1,"당일 즉시 이용자 또는 예약자로서 차량 도착 후 이용 취소차량 도착 후 30분 이내에 승차하지 않은 경우가 3회 이상예약시간으로부터 1시간 이내 예약 취소가 3회 이상이용신청 없이 운전원과 직접 연락하여 치량을 이용무임승차가 2회 이상인 경우교통약자와 동반할 목적이 아닌 일반인의 동승 및 중도 하차 요구치료 목적 이외에 사적인 용무로 경상남도를 벗어난 자상담원, 운전원에 대한 욕설, 폭언,폭행, 성적 희롱 2회 이상의도적으로 특별교통수단 운행을",창원 전역,"밀양시,김해시,진주시통영시,사천시,거제시양산시,창녕군,의령군함안군,고성군,남해군하동군,산청군,함양군거창군,합천군,김해공항부산광역시","창원시를 방문한 교통약자(출발이나 도착하는 곳이 창원시인 경우)장애1급,2급65세이상,임산부(대중교통 이용이 어렵다는 의사소견서 지참 시 이용가능)일시적 휠체어 이용자","기초수급자(1,000원 정액제)시내구간 이용요금(1,500원 정액제-시내버스요금 인상 시 연동 적용)시외구간 이용요금밀양시(6,900원), 김해시(3,800원), 진주시(5,900원), 통영시(9.900원), 사천시(6,300원), 거제시(13,700원), 양산시(5,100원), 창녕군(4,400원), 의령군(4,600원), 함안군(2,700원), 고성군(7,600원), 남해군(11,000원), 하동군(11,800원), 산청군(10,600원), 함양군(13,700원), 거창군(15,000원), 합천군(10,300원), 김해공항(5,400원), 부산광역시(6,700원)",창원시,055-225-4314,2020.12.2,B553892,창원시설공단
태안군 교통약자 이동지원센터,충청남도 태안군 태안읍 후곡로 83,,36.74591186,126.3018915,2,카니발,2,1,041-673-1040,N,N,9:00,17:20,0:00,0:00,9:00,17:50,0:00,0:00,15일,중증환자,서산시+태안군,태안군 외 지역,중증장애 1~2급+영유아+노약자,"기본요금 1.5km 1,000원+거리요금(140m당) 50원+시간요금(3초) 50원+관외(4시간) 40,000원+관외(8시간) 80,000원",태안군,041-670-2808,2020.12.1,4620000,충청남도 태안군
전남지체장애인협회 화순군지회,전라남도 화순군 화순읍 부처샘길 5-11,,35.0677473,126.991519,3,카니발,3,0,1899-1110,https://hwasun.go.kr,,8:00,19:00,8:00,17:00,8:00,19:00,8:00,17:00,연중,없음,관내 전읍면,광주광역시+ 나주시,1~2급 지체장애인+1~5급시각장애인,기본요금 500원,전라남도 화순군,061-379-3784,2020.12.18,4900000,전라남도 화순군
영양군교통약자이동지원센터　,경상북도 영양군 영양읍 동서대로 90 (종합복지회관 3층),,36.66192436,129.1186857,3,스타렉스+카니발,3,0,1899-7770,http://www.brmcall.co.kr,,0:00,0:00,0:00,0:00,7:00,18:00,9:00,18:00,5일　,사항 등을 참작하여 3개월 내에서 이용을 제한,영양군 전지역,경상북도+대구광역시,심한 장애인 및 65세이상노약자(의사소견첨부) 회원등록자+교통약자를 동반하는 가족 및 보호자(2명내),관내(시내버스요금)+관외(시외버스요금)+고속도로(유료도로)통행료는 이용자 부담(왕복통행료),영양군,054-680-6740,2020.11.12,5170000,경상북도 영양군
아산시 특별교통수단이동지원센터,"충청남도 아산시 시민로457번길 31, 동우빌딩 2층",충청남도 아산시 온천동 1411,36.7887274,126.998424,25,승합,21,4,1644-5588,해당없음,해당없음,7:00,23:59,7:00,21:00,7:00,23:59,7:00,21:00,관내 불가 / 관외 최대 2일 전,"장애인(3급 하지장애 외, 4급~), 65세이상 대중교통이용 가능한자",아산시 전역,충청남도 전역,"- 1·2급 장애인, 뇌병변·지체 3급 장애인 중 대중교통 이용이 불편한 자 - 만65세 이상 고령자 중 대중교통 이용이 불편한자-  임산부,일시적 교통약자(대중교통 이용이 불편한자)","기본요금 700원(2km까지), 추가요금 130원(1km당) / 관외 260원(1km) / 관외 대기 30분당 2,000원",아산장애인단체연합회,041-540-1506,2020.11.3,4520000,충청남도 아산시
교통약자이동지원센터,전라북도 부안군 부안읍 오리정로 89,전라북도 부안군 부안읍 서외리 536-15,35.7233599,126.7317745,5,카니발,5,0,063-583-1010,없음,없음,8:00,18:00,0:00,0:00,8:00,22:00,9:00,18:00,하루전까지,,관내(부안군),전국,1급 또는 2급+65세이상+국가유공상이자+일시적휠체어,거리요금 148m당 30원,부안군청,063-580-4539,2021.6.21,4790000,전라북도 부안군
장애인콜택시,전라북도 완주군 봉동읍 봉동동서로 89,전라북도 완주군 봉동읍 장기리 285-5,35.93733633,127.1620975,10,스타렉스+카니발,10,0,063-227-0002,http://0632270002.com,,9:00,18:00,9:00,18:00,0:00,0:00,8:00,20:00,7일전부터 전일 17시까지,무단취소3회이상+음주자+폭언+폭행+기타운전방해자,완주군전지역,전북도내 및 전국,"장애의정도가 심한 장애인 중 보행상 장애인, 65세 이상으로 대중교통 이용이 어려운 자, 임산부 및 일시적 휠체어 사용자","기본2km까지1400원, 권역 내 최대 2,000원 요금상한제 적용",완주군청,063-290-2803,2021.6.18,4720000,전라북도 완주군
천안시 교통약자이동지원센터,충청남도 천안시 동남구 다가말2길 104,충청남도 천안시 동남구 다가동 405-6,36.7979991,127.1431034,31,카니발+스타렉스,31,0,1644-5588,없음,없음,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,2일전,"1. 이용고객의 차량을 예약하고 비장애인만 승차 시키는 경우2. 장애등급을 허위 고지하여 우선배차를 받는 등 부정 탑승 행위를 한 경우 3. 운전에 방해를 줄 수 있는 고객 탑승 시 보호자가 동승하지 않는 경우4. 교통약자를 위한 보호자의 동반 탑승은 최초 탑승 시부터 최종 목적지까지 같이 동승하여 타고 내려야 하며, 중도에 보호자만 개별적으로 타고 내리는 경우5. 장애인 보조견을 제외한 운전에 방해를 줄 수 있는 애완동물 및 폭발성, 인화성 ",천안시,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1000원(2km), km당 130원",충남지체장애인협회 천안시지부,041-558-0010,2021.6.16,6440000,충청남도
공주시 교통약자이동지원센터,"충청남도 공주시 의당면 의당로 257, 장애인복지센터 203호",충청남도 공주시 의당면 청룡리 903,36.49366156,127.1356957,10,카니발+스타렉스,10,0,1644-5588,없음,없음,0:00,23:59,0:00,23:59,9:00,16:00,9:00,15:00,2일전,없음,공주시,충청남도,교통약자법 시행규칙 제6조에 해당되는 사람,"관내 기본요금 1000원(2km), km당 130원",충남지체장애인협회 공주시지부,041-852-5858,2021.6.16,6440000,충청남도
보령시 교통약자이동지원센터,"충청남도 보령시 주공로8, 대동빌딩 3층 2호",충청남도 보령시 명천동 1037,36.34544473,126.6020154,9,카니발,6,3,1644-5588,없음,없음,0:00,23:59,0:00,23:59,7:00,21:00,9:00,16:00,2일전,없음,보령시,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 일시적장애인","관내 기본요금 1400원(2km), km당 130원",충남지체장애인협회 보령시지부,041-933-3517,2021.6.16,6440000,충청남도
아산시 교통약자이동지원센터,충청남도 아산시 시민로457번길 30 (2층),충청남도 아산시 온천동 1411,36.78898932,126.9978278,20,카니발+스타렉스,16,4,1644-5588,없음,없음,0:00,23:59,0:00,23:59,7:00,23:59,7:00,21:00,2일전,"장애인(3급 하지장애 외, 4급~), 65세이상 대중교통이용 가능한자",아산시,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 700원(2km), km당 130원",아산시장애인연합회,041-546-1509,2021.6.16,6440000,충청남도
대광택시㈜,경상남도 밀양시 부북면 밀양대로 1651,,35.47395045,128.7540292,20,승합차,20,0,1566-4488,해당없음,,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,N,회원제 운영 예정,밀양시 관내 일원,경상남도,회원 가입자,https://www.miryang.go.kr/web/index.do?mnNo=50306000000,㈜대광택시,055-356-3962,2021.11.5,5360000,경상남도 밀양시
서산시 교통약자이동지원센터,충청남도 서산시 오산1길 11 (2층),충청남도 서산시 오남동 16-5,36.74512191,126.4852735,8,카니발+스타렉스,8,0,1644-5588,없음,없음,0:00,23:59,0:00,23:59,9:00,16:00,9:00,13:00,2일전,,서산시,충청남도,"교통약자법 시행규칙 제7조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1400원(2km), km당 130원",충남지체장애인협회 서산시지부,041-665-1111,2021.6.16,6440000,충청남도
논산시 교통약자이동지원센터,충청남도 논산시 해월로 87번길 18,충청남도 논산시 부창동 274-139,36.20032028,127.0782185,10,카니발,10,0,1644-5588,없음,없음,0:00,23:59,0:00,23:59,7:00,21:00,9:00,16:00,2일전,"대중교통이용 가능한 장애의 정도가 심하지 않은 장애인, 65세이상 대중교통이용 가능한자",논산시,충청남도,교통약자법 시행규칙 제6조에 해당되는 사람,"관내 기본요금 1400원(2km), km당 130원",충남지체장애인협회 논산시지부,041-733-0337,2021.6.16,6440000,충청남도
하남시교통약자이동지원센터-나눔콜,경기도 하남시 창우로 146,경기도 하남시 창우동 224-1,37.538986,127.230067,23,스타렉스+카니발,21,2,1577-0197,해당없음,하남시교통약자이동지원센터,8:00,8:00,0:00,0:00,0:00,23:59,0:00,23:59,"평일, 2일전 아침8시부터~당일2시간전",도착후 취소시,하남시 전체,경기+서울 근거리 일대,교통약자,기본요금 10KM 당 1500원+5KM 당 100원 추가+유료도로 이용시 통행요금은 이용자 부담,경기도 하남시청 교통정책과,031-790-5016,2022.5.17,4040000,경기도 하남시
당진시 교통약자이동지원센터,충청남도 당진시 백암1길 61,충청남도 당진시 채운동 170-2,36.88724412,126.6247053,12,카니발+스타렉스,11,1,1644-5588,없음,없음,0:00,23:59,0:00,23:59,8:00,19:00,9:00,17:00,2일전,,당진시,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 일시적장애인","관내 기본요금 1400원(2km), km당 130원",충남지체장애인협회 당진시지부,041-358-9787,2021.6.16,6440000,충청남도
금산군 교통약자 이동지원센터,충청남도 금산군 금산읍 인삼로 232,충청남도 금산군 금산읍 신대리 490-3,36.10193265,127.5067571,3,카니발,3,0,1644-5588,없음,없음,0:00,23:59,0:00,23:59,9:00,16:00,9:00,16:00,2일전,,금산군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1000원(2km), km당 130원",충남지체장애인협회 금산군지부,041-754-9500,2021.6.16,6440000,충청남도
부여군 교통약자이동지원센터,충청남도 부여군 규암면 흥수로 816,충청남도 부여군 규암면 내리 246-3,36.27331322,126.8712187,2,카니발,2,2,1644-5588,없음,없음,0:00,23:59,0:00,23:59,9:00,16:00,9:00,16:00,2일전,,부여군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 장애인임신부, 일시적장애인","관내 기본요금 1000원(2km), km당 130원",충남지체장애인협회 부여군지부,041-836-2155,2021.6.16,6440000,충청남도
서천군 교통약자이동지원센터,"충청남도 서천군 서천읍 충절로81번길 7, 청림주상복합빌딩 1층7호",충청남도 서천군 서천읍 군사리 649-2,36.07485734,126.6914297,5,카니발,0,5,1644-5588,없음,없음,0:00,23:59,0:00,23:59,9:00,16:00,9:00,16:00,2일전,없음,서천군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1300원(2km), km당 130원",충남지체장애인협회 서천군지부,041-950-4128,2021.6.16,6440000,충청남도
청양군교통약자이동지원센터,충청남도 청양군 청양읍 칠갑산로 87,충청남도 청양군 청양읍 송방리 293-1,36.44939025,126.786522,3,카니발+스타렉스,0,3,1644-5588,없음,없음,0:00,23:59,0:00,23:59,9:00,16:00,9:00,16:00,2일전,없음,청양군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1300원(2km), km당 130원",충남지체장애인협회 청양군지부,041-942-2111,2021.6.16,6440000,충청남도
홍성군 교통약자이동지원센터,충청남도 홍성군 홍성읍 조양로33번길 17,충청남도 홍성군 홍성읍 옥암리 62-8,36.59770889,126.6558164,2,승합차,0,0,1644-5588,없음,없음,0:00,23:59,0:00,23:59,8:00,20:00,9:00,16:00,2일전,-,홍성군,충청남도,교통약자법 시행규칙 제6조에 해당되는 사람,"관내 기본요금 1300원(2km), km당 130원",충남지체장애인협회 홍성군지부,041-634-0026,2021.6.16,6440000,충청남도
예산군 교통약자이동지원센터,충청남도 예산군 예산읍 벚꽃로 155번길 10,"충청남도 예산군 예산읍 발연리 85-5, 예산군사랑채 105호",36.69471087,126.8353696,6,카니발,6,0,1644-5588,없음,없음,0:00,23:59,0:00,23:59,9:00,16:00,9:00,16:00,2일전,,예산군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1000원(2km), km당 130원",충남지체장애인협회 예산군지부,041-335-3330,2021.6.16,6440000,충청남도
태안군 교통약자 이동지원센터,충청남도 태안군 태안읍 후곡로 83,충청남도 태안군 태안읍 남문리 712-13,36.74591186,126.3018915,2,카니발,2,0,1644-5588,없음,없음,0:00,23:59,0:00,23:59,9:00,16:00,9:00,16:00,2일전,중증환자,태안군,충청남도,"교통약자법 시행규칙 제7조에 해당되는 사람, 임신부, 영유아 동반자","관내 기본요금 1000원(1.5km), 140m당 50원",충남지체장애인협회 태안군지부,041-670-2808,2021.6.16,6440000,충청남도
사)한국지체장애인협회 함평군지회,전라남도 함평군 함평읍 남일길 238-61,전라남도 함평군 함평읍 대덕리 21-5,35.07582913,126.512894,4,창림저상슬로프장애인차,4,0,1899-1110,없음,없음,8:00,18:00,8:00,18:00,0:00,0:00,0:00,0:00,1일,최초이용시 증빙서류 첨부해 사용자 등록,함평군 일원,"전남 도내, 광주광역시","장애정도가 심한(보행상) 장애인, 65세 이상의 어르신, 일시적 휠체어 이용자(버스 이용이 어려운 사람) 등","기본요금(2㎞까지) : 500원, 1,000원(심야)/추가요금(1㎞당) : 100원, 200원(심야)",함평군청,061-320-1753,2021.6.15,4960000,전라남도 함평군
여주시 교통약자이동지원센터,경기도 여주시 여흥로 109번길 17-1(창동),경기도 여주시 창동 46,37.29737726,127.6358905,20,카니발+스타렉스,19,1,1522-2796,https://call.yjcmc.or.kr/,,6:00,22:00,14:00,18:00,6:00,22:00,6:00,22:00,2일,차량도착 후 10분 이내 승차 불이행+주말 및 공휴일 예약 24시간 전 취소 불이행+폭언+신체적 접촉+과도한 음주,여주시 전지역,서울특별시+경기도+음성군+충주시+원주시,"장애인+65세 이상, 임산부 및 영유아 동반, 일시적으로 휠체어를 이용하는 사람 중 대중교통 이용이 어려운 사람+교통약자를 동반하는 가족 및 보호자+ 그 밖에 특별교통수단이 필요하다고 인정하는 사람","관내 1,300원(정액제) / 관외 기본 10Km당 1,300원(초과요금 3Km당 100원)+고속도로 통행료(기초생활수급자 통행료 지원), 주차료 이용자 부담+기초생활수급자 50 할인+시계외 및 심야시간(0시~4시) 20 할증",여주시,031-887-2292,2021.7.16,5700000,경기도 여주시
의왕시 교통약자 이동지원센터,경기도 의왕시 왕소나무길 29-15,경기도 의왕시 월암동 602-2,37.30274385,126.959074,11,그랜드카니발,11,0,031-462-8253,인터넷접수 불가(www.uuc.or.kr),,7:00,23:59,9:00,18:00,7:00,23:59,9:00,18:00,가능,상담원에 대한 폭언+운전원에 대한 폭언 폭행+안전운전에 방해 되는 행위,의왕+군포+과천+안양,거주지 제한 폐지,장애정도가 심한 장애인,1200원,의왕시청 교통행정과,031-345-3305,2021.7.26,4030000,경기도 의왕시
구리시 교통약자 이동지원센터,경기도 구리시 안골로 40(주차빌딩 3층),경기도 구리시 교문동 736-3,37.59696327,127.1355313,18,카니발,18,0,1577-3659,https://gurihappycall.guriuc.or.kr/,구리시 행복콜,9:00,18:00,0:00,0:00,0:00,0:00,9:00,18:00,2일,"1일(당일) 제한 - 요금 체납 시 납부할 때까지 이용 제한 - 탑승 시 신분증(장애인 등록증(복지카드)) 및 진단서 등 증빙서류를 제시하지 못하는 경우 - 신청 대상자와 이용자가 다른 경우(부정 이용자) - 운전원 및 상담원에 대한 폭행, 폭언 등의 불법을 행사 할 경우",구리시 전지역,서울+인천+경기도,1. 「장애인복지법 시행규칙」 제2조 제1항에 따른 보행상 장애의 정도가 심한 장애인으로서 버스ㆍ지하철 등의 대중교통 이용이 어려운 사람2. 65세 이상 노인ㆍ임산부 및 장애의 정도가 심한 장애인(「보행상 장애 표준기준표」상의 보행상 장애가 없는 사람)으로서 버스ㆍ지하철 등 대중교통 이용이 어려운 사람3. 제1호 및 제2호에 해당하는 교통약자에 준하는 사람으로서 조례로 정하는 사람4. 제1호부터 제3호까지 해당하는 교통약자를 동반하는 가족 및 보호자(2명 이내),"　기본요금 10Km이내 1,200원,  10Km 초과 1Km당 200원 + 고속도로(유료도로)통행료는  이용자 부담, 주차요금 이용자 부담",구리시,031-550-2576,2021.7.23,3980000,경기도 구리시
제주특별자치도 교통약자 이동지원센터,제주특별자치도 제주시 연북로 173,,33.481802,126.4999482,46,그랜드카니발+그랜드스타렉스+쏠라티,45,1,1899-6884,http://www.jejuhappycall.com/,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,예약접수 운영안함,,,,1ㆍ2급 장애인으로 대중교통 이용이 어려운 자+65세 이상으로서 대중교통 이용이 어려운 자+3급 장애인 중 뇌병변 또는 휠체어를 이용하는 사람으로 대중교통 이용이 어려운자+임산부ㆍ일시적으로 휠체어를 이용하는 자로서 대중교통 이용이 어려운자,기본요금(10km내)500원+거리요금(1km당)100원+요금상한제1000원,교통정책과,064-710-2413,2021.10.14,6500000,제주특별자치도
사단법인한국시각장애인연합회영월지회,강원도 영월군 영월읍 단종로 21,강원도 영월군 영월읍 영흥리 959-27,37.185347,128.467917,4,창림저상슬로프장애인차,4,0,1577-2014,해당없음,,0:00,24:00:00,0:00,24:00:00,7:00,22:00,9:00,18:00,일주일~1일전,예약취소 없이 3회 무단 불이용 시 또는 차량 도착 시 요청장소에 3회 무단 부재 시 한달간 이용 정지,영월군 전지역,강원도+제천+단양,"휠체어 이용 1, 2급 장애인+그 외 이용자(진단서 첨부)","4km 기본 1,100원, 이후 1km 당 100원",강원도 영월군,033-370-2356,2018.8.31,4270000,강원도 영월군
경상북도특별교통수단상주시부름콜센터,경상북도 상주시 상산로 506,경상북도 상주시 만산동 212-3,36.43599436,128.1572917,10,카니발+스타렉스,0,10,1899-7770,없음,없음,8:00,18:00,9:00,18:00,7:00,22:00,7:00,18:00,7일,운행방해+욕설3회시 한달 정지+예약위반 3회시 한달 정지+요금미납 3회시 한달 정지+운행1시간 이내로 취소 3회시 한달 정지,상주시 전지역,"상주시 인접 시군, 전국(병원목적에 한함)","관내 중증장애인 1~2급+중증장애인 3급(지체장애인 또는 휠체어 사용자)+임산부+65세이상노약자(사고, 질병 등으로 대중교통 이용이 어렵거나 휠체어 사용자)+일시적 장애인","5km 기본요금 1,100원+추가 1km당 200원(시계외 동일)",상주시 교통에너지과,054-537-7378,2020.7.13,5110000,경상북도 상주시
청주시교통약자이동지원센터,충청북도 청주시 흥덕구 무심서로841,충청북도 청주시 흥덕구 신봉동 500,36.66271754,127.4669836,51,"특장차(스타랙스,카니발)",0,51,1588-8488,http://www.cjsisul.or.kr/reserve/sub.do?menukey=239,X,7:00,22:00,7:00,22:00,0:00,0:00,0:00,0:00,"인터넷(3일전),전화(1일전)",심사를 거쳐 등록된 고객만 이용가능,청주시 전지역,"신탄진,조치원,증평,오송","장애정도가 심한 보행상 장애인(기존1~2급 장애인 포함),만65세이상,요양1~4등급,상이등급1~3등급","기본요금:10km당2000원,추가요금:1km당300원",청주시 교통정책과,043-201-2825,2020.6.30,5710000,충청북도 청주시
한국교통장애인협회영주시지회,"경상북도 영주시 광복로46번길 15, 1층",경상북도 영주시 영주동 32-15,36.8270932,128.6235929,6,뉴카니발,6,0,054-638-0112,없음,없음,9:00,18:00,0:00,0:00,9:00,19:00,9:00,18:00,2주,주말예약 접수 받지 않음(시각은 00:00으로 표기함),영주시 전역,전국(시외운행은 병원이용),"장애인복지법상 1~2급장애인,65세이상노약자,사고질병등 일시적 장애로 인하여 휠체어를 이용하는사람 및 보호자,임산부 및 영유아를 동반한 자","1. 영주시내: 10KM까지 천원,10KM 초과시 5KM 당 + 천원2. 도내 시외운행 요금:다섯시간 이내 30,000원,다섯시간 이상  50,000원3. 도외 시외운행 요금:다섯시간 이내 50,000원,다섯시간 이상 100,000원",교통행정과,054-639-6824,2020.7.22,5090000,경상북도 영주시
한국시각장애인연합회 양양군지회,강원도 양양군 양양읍 양양로 9-5,강원도 양양군 양양읍 연창리 203-5,38.07784423,128.6274852,2,승합 중형(카니발),2,0,1577-2014,http://call.gwd.go.kr,강원도 광역 교통약자,9:00,18:00,9:00,18:00,7:00,22:00,9:00,18:00,관외 차량 일주일전 신청,,양양군 전역,강원도 및 서울(병원 이용 시),장애정도가 심한장애인+ 장애정도가 심하지 않은장애인(의사진단서)+만65세이상노약자(의사진단서첨부)+교통약자를 동반하는 가족 및 보호자,"기본요금 1,100원(4km) 이후 1km당 100원",양양군 전략교통과,033-670-2256,2021.7.5,4350000,강원도 양양군
(사)한국지체장애인협회 강원도지체장애인협회 양양군지회,강원도 양양군 양양읍 양양로 9-5,강원도 양양군 양양읍 연창리 203-5,38.07784423,128.6274852,2,승합 중형(카니발),2,0,1577-2014,http://call.gwd.go.kr,강원도 광역 교통약자,9:00,18:00,9:00,18:00,7:00,22:00,9:00,18:00,관외 차량 일주일전 신청,,양양군 전역,강원도 및 서울(병원 이용 시),장애정도가 심한장애인+ 장애정도가 심하지 않은장애인(의사진단서)+만65세이상노약자(의사진단서첨부)+교통약자를 동반하는 가족 및 보호자,"기본요금 1,100원(4km) 이후 1km당 101원",양양군 전략교통과,033-670-2257,2021.7.5,4350000,강원도 양양군
